"nom","type","courte_description","source","condition","avantage","normal","url"
"Alliance des vestiges","[Général]","Le personnage sait comment passer des pactes avec les esprits surnaturels appelés vestiges.","Recueil de Magie","[[]]","À l'aide d'un court rituel, le personnage peut contacter un vestige et conclure un pacte avec lui. Il est considéré comme un scelleur de niveau 1 dans ce cas, quel que soit son niveau de personnage. Par conséquent, seuls les vestiges de 1er niveau lui sont accessibles, et il ne peut en sceller qu'un à la fois. De plus, contrairement aux personnages dotés de l'aptitude de classe sceau de l'âme, il ne gagne qu'un pouvoir du vestige auquel il est lié,
Pour contacter un vestige, le personnage doit tracer son sceau unique de manière visible sur une surface (généralement sur le sol), dessinant un symbole d'au moins 1,50 mètre de diamètre. Pour tracer le sceau, il faut être capable de marquer une surface. Cet acte nécessite 10 rounds consécutifs de concentration, provoquant des attaques d'opportunité. Un sceau qui n'est pas utilisé 1 minute après avoir été tracé perd tous ses pouvoirs, et il faut le tracer à nouveau pour contacter le vestige. Pour contacter certains vestiges, il faut remplir d'autres conditions indiquées dans leur description.
Une fois le sceau tracé, le personnage doit accomplir un rituel qui nécessite une action complexe afin de convoquer le vestige correspondant. Pendant ce temps, il doit toucher le sceau et appeler le vestige par son nom et son titre. Le rituel échoue si on ne peut pas entendre le personnage (par exemple, s'il se trouve dans la zone d'effet d'un sort de silence). Sinon, une manifestation du vestige apparaît dans la case du sceau dès que le rituel se termine. Cette image n'est pas le vestige lui-même, mais une simple illusion qui ne peut blesser aucune créature ni être blessée elle-même. Les créatures qui s'entretiennent avec l'image ou l'étudient attentivement comprennent immédiatement qu'il s'agit d'une illusion. L'image convoquée ignore tout le monde en dehors du personnage. S'il ne parvient pas à lui parler dans le round qui suit, elle disparaît. Le vestige parle la langue dans laquelle il a été invoqué.
Pour conclure un pacte avec le vestige convoqué, le personnage doit jouer un test de sceau de l'âme (1d20 + son niveau effectif de scelleur + son modificateur de Cha). Cela lui prend 1 minute, mais il peut choisir d'effectuer un test de sceau de l'âme précipité au prix d'une action complexe et en subissant un malus de -10. Le DD de ce test est indiqué dans la description de chaque vestige. Le personnage doit conclure seul son pacte périlleux : nul ne peut l'y aider d'aucune façon.
Que le test de sceau de l'âme ait réussi ou non, le personnage gagne le pouvoir conféré par le vestige pendant 24 heures. Pendant cette période, il ne peut pas se débarrasser du vestige, à moins de posséder le don Expulsion de vestige. Toutefois, s'il rate son test de sceau de l'âme, le vestige influence sa personnalité et ses actions, et on parle dans ce cas d'un pacte désavantageux. En bref, la présence du vestige modifie le comportement général du personnage et peut le forcer ou l'empêcher d'accomplir certaines choses. L'influence de chaque vestige est indiquée dans sa description. S'il réussit son test, le vestige n'a aucun contrôle sur ses actes et n'influence nullement sa personnalité. Dans ce cas, on parle d'un pacte avantageux.
Tant qu'il est sous l'influence d'un vestige, le personnage doit répondre à ses attentes du mieux qu'il le peut. Chaque fois qu'il accomplit délibérément un acte prohibé, ou au contraire refuse sciemment d'exécuter un acte requis par le vestige, le personnage reçoit une remontrance. Elle prend la forme d'un malus de -1 aux jets d'attaque, aux jets de sauvegarde et aux tests, qui perdure jusqu'à ce que le vestige le quitte. Si le personnage est sous l'influence de plusieurs vestiges, il doit agir conformément à toutes leurs influences. Les malus de plusieurs remontrances se cumulent, qu'elles proviennent d'un seul ou de plusieurs vestiges.
Tant qu'il est lié à un vestige, le personnage arbore un signe physique de sa présence, comme indiqué dans sa description. Il s'agit là d'un signe réel, et non d'un effet illusoire ou de métamorphose, et un sort de vision lucide ne changera nullement la perception que l'on en a. Le personnage peut cacher un tel signe par des moyens ordinaires ou magiques sans malus.
Le vestige est lié à l'âme du personnage par le pacte. Il ne peut en aucun cas être pris pour cible ou expulsé, excepté par l'intermédiaire du don Expulsion de vestige, et ne peut pas non plus être réprimé excepté par une zone d'antimagie ou un effet similaire.
Le degré de difficulté des jets de sauvegarde contre les pouvoirs surnaturels conférés par un vestige est égal à 10 + la moitié du niveau effectif de scelleur du personnage + son modificateur de Charisme.","","https://gemmaline.com/dons/dons-alliance-des-vestiges-805.htm"
"Alliance supérieure","[Général]","Quand le personnage scelle un vestige, il gagne un pouvoir supplémentaire qui lui est associé.","Recueil de Magie","[[Alliance des vestiges]]","Quand le personnage scelle un vestige à l'aide du don Alliance des vestiges, il gagne un second pouvoir indiqué dans la Table d'Alliance des vestiges,","","https://gemmaline.com/dons/dons-alliance-superieure-806.htm"
"Allonge inhumaine","[Aberrant]","Les bras du personnage s'allongent, si bien qu'il peut toucher le sol à l'aide de ses mains sans se pencher. De plus, il peut les plier de manière très inhabituelle. L'apparence exacte de ces bras est variable (serpents, écailles, tentacules huileux, etc.), mais ils peuvent aussi ressembler à des bras normaux allongés et pourvus d'un second coude. À moins de porter un manteau pour les dissimuler, ces bras ont tendance à troubler les protagonistes du personnage.","Lord of Madness","[[Sang d’aberration]]","Le personnage gagne une allonge supplémentaire de 1,50 mètre. Pour la plupart des créatures de taille P ou M, cet avantage confère donc une allonge de 3 mètres. Si votre personnage possède déjà une allonge de plus de 1,50 mètre, cela l'augmente de 1,50 mètre de plus. Comme précisé à la page 113 du Manuel des joueurs, une arme à allonge double a pour effet de doubler l'allonge naturelle. Par exemple, si votre personnage a ce don et manie une pique, vous pouvez attaquer des cibles situées à 4,50 m ou à 6 m. Les bras allongés confèrent également un bonus de +2 aux tests d'Escalade.","","https://gemmaline.com/dons/dons-allonge-inhumaine-580.htm"
"Alpinisme assuré","[Général, Athlète]","Maîtrisant parfaitement la montagne, le personnage peut franchir les falaises et les précipices sans être affecté par les distractions.","Races de la Pierre","[[Goliath ou degré de maîtrise de 8 en Escalad’et Saut]]","Le personnage est toujours capable de faire 10 sur les tests d'Escalade et de Saut, même si les conditions devraient l'en empêcher.","Il est normalement impossible de faire 10 lorsqu'on est stressé ou menacé, par exemple pendant le combat.","https://gemmaline.com/dons/dons-alpinisme-assure-627.htm"
"Altération de zone d’effet","[Métamagie]","Le personnage peut changer la forme de la zone d'effet d'un sort.","Codex Profane","[[Un don de Métamagie au choix]]","Le personnage peut modifier un sort affectant une zone en changeant la forme de celle-ci. La nouvelle zone d'effet doit être choisie dans la liste suivante : un cylindre (3 mètres de rayon, 9 mètres de haut), un cône de 12 mètres de long, quatre cubes de 3 mètres d'arête, une boule (étendue de 6 mètres de rayon) ou une ligne de 36 mètres de long. Le sort altéré fonctionne par ailleurs tout à fait normalement. Par exemple, un éclair dont la zone d'effet est changée en boule inflige les dégâts habituels, mais il affecte une étendue de 6 mètres de rayon.
Un sort altéré mobilise un emplacement de sort d'un niveau de plus que son niveau réel.","","https://gemmaline.com/dons/dons-alteration-de-zone-d-effet-716.htm"
"Altitude légère","[Réserve]","Le personnage peut canaliser l'énergie de l'air pour voler un court instant.","Complete Mage","[[Faculté de lancer des sorts de 5e niveau ou plus du registre air]]","Aussi longtemps que le personnage a un sort d'air du cinquième niveau ou plus pouvant être lancé, il peut voler jusqu'à 9 mètres (manœuvrabilité parfaite) au prix d'une action de mouvement. Le personnage doit commencer et terminer son mouvement sur une surface solide. S'il termine en l'air, il chute.
Ce pouvoir n'est pas utilisable si le personnage porte une armure loure ou une charge lourde.
De plus, le personnage gagne un bonus de compétence de +1 à son niveau de lanceur de sort quand il lance des sorts d'air.","","https://gemmaline.com/dons/dons-altitude-legere-1081.htm"
"Âme aberrante","[Aberrant]","L'âme du personnage est perturbée par des forces inhumaines.","Codex Heroïque","[[Sang d’aberration]]","Le personnage gagne 1 point d'essentia par tranche de 2 dons aberrants qu'il dispose.","","https://gemmaline.com/dons/dons-ame-aberrante-2017.htm"
"Âme abyssale (Baphomet)","[Maléfique, Anarchique]","Le personnage a promis son gage à Baphomet en retour d'un don.","Fiendish Codex I :   Hordes of the Abyss","[[Serviteur démoniaque (Baphomet)], [Empreinte du mal]]","L'empreinte maléfique du personnage contient le symbole de Baphomet. Le personnage gagne un bonus de +2 à ses jets de sauvegarde contre les sorts effets du registre du Bien.
De plus, le personnage inflige des dégâts doublés lors dune charge.","","https://gemmaline.com/dons/dons-ame-abyssale--baphomet--2236.htm"
"Âme abyssale (Dagon)","[Maléfique, Anarchique]","Le personnage a promis son gage à Dagon en retour d'un don.","Fiendish Codex I :   Hordes of the Abyss","[[Serviteur démoniaque (Dagon)], [Empreinte du mal]]","L'empreinte maléfique du personnage contient le symbole de Dagon. Le personnage gagne un bonus de +2 à ses jets de sauvegarde contre les sorts effets du registre du Bien.
De plus, le personnagepeut respirer aussi bien sous l'eau que dans l'air.","","https://gemmaline.com/dons/dons-ame-abyssale--dagon--2237.htm"
"Âme abyssale (Demogorgon)","[Maléfique, Anarchique]","Le personnage a promis son gage à Demogorgon en retour d'un don.","Fiendish Codex I :   Hordes of the Abyss","[[Serviteur démoniaque (Démogorgon)], [Empreinte du mal]]","L'empreinte maléfique du personnage contient le symbole de Demogorgon. Le personnage gagne un bonus de +2 à ses jets de sauvegarde contre les sorts effets du registre du Bien.
De plus, le personnage peut une fois par jour invoquer un tanar'ri avec un FP inférieur ou égal à la moitié de ses DV. le démon suit ses ordres et reste pendant 1 heure. Il s'agit de l'équivalent d'un sort lancé à un niveau égal aux DV du personnage.","","https://gemmaline.com/dons/dons-ame-abyssale--demogorgon--2238.htm"
"Âme abyssale (Doresain)","[Maléfique, Anarchique]","Le personnage a promis son gage à Doresain en retour d'un don.","Codex Maléfique","[[Serviteur démoniaque (Doresain)], [Empreinte du mal]]","L'empreinte maléfique du personnage contient le symbole de Doresain. Le personnage gagne un bonus de +2 à ses jets de sauvegarde contre les sorts effets du registre du Bien.
De plus, les dégâts de l'attaque de morsure du personnage (s'il en a une) augmente d'un cran et son multiplicateur de critique augmente de 1.","","https://gemmaline.com/dons/dons-ame-abyssale--doresain--2250.htm"
"Âme abyssale (Fraz-Urb’luu)","[Maléfique, Anarchique]","Le personnage a promis son gage à Fraz-Urb'luu en retour d'un don.","Fiendish Codex I :   Hordes of the Abyss","[[Serviteur démoniaque (Fraz-Urb’luu)], [Empreinte du mal]]","L'empreinte maléfique du personnage contient le symbole de Fraz-Urb'luu. Le personnage gagne un bonus de +2 à ses jets de sauvegarde contre les sorts effets du registre du Bien.
De plus, le personnage lance ses sorts d'illsuion avec un bonus de +1 au niveau de lanceur de sorts.","","https://gemmaline.com/dons/dons-ame-abyssale--fraz-urb-luu--2239.htm"
"Âme abyssale (Graz’zt)","[Maléfique, Anarchique]","Le personnage a promis son gage à Graz'zt en retour d'un don.","Fiendish Codex I :   Hordes of the Abyss","[[Serviteur démoniaque (Graz’zt)], [Empreinte du mal]]","L'empreinte maléfique du personnage contient le symbole de Graz'zt. Le personnage gagne un bonus de +2 à ses jets de sauvegarde contre les sorts effets du registre du Bien.
De plus, le personnage est immunisé contre les effets de Terreur.","","https://gemmaline.com/dons/dons-ame-abyssale--graz-zt--2240.htm"
"Âme abyssale (Juiblex)","[Maléfique, Anarchique]","Le personnage a promis son gage à Juiblex en retour d'un don.","Fiendish Codex I :   Hordes of the Abyss","[[Serviteur démoniaque (Juiblex)], [Empreinte du mal]]","L'empreinte maléfique du personnage contient le symbole de Juiblex. Le personnage gagne un bonus de +2 à ses jets de sauvegarde contre les sorts effets du registre du Bien.
De plus, le personnage gagne une résistance à l'acide de 5 (ou augmente sa résistance à l'acide de 5 s'il en possède déjà une).","","https://gemmaline.com/dons/dons-ame-abyssale--juiblex--2241.htm"
